image, latitude, longitude
images/ch4/ch4img10.jpg,-33.437936,-70.633056
images/ch4/ch4img11.jpg,-33.436519,-70.630867
images/ch4/ch4img12.jpg,-33.433931,-70.626550
images/ch4/ch4img13.jpg,-33.441914,-70.644975
images/ch4/ch4img14.jpg,-33.439419,-70.639564
images/ch4/ch4img15.jpg,-33.425819,-70.614350
images/ch4/ch4img16.jpg,-33.440103,-70.639817
images/ch4/ch4img18.jpg,-33.439319,-70.639525
images/ch4/ch4img19.jpg,-33.438561,-70.638375
images/ch4/ch4img1.jpg,-33.436614,-70.631867
images/ch4/ch4img20.jpg,-33.439719,-70.639808
images/ch4/ch4img2.jpg,-33.436469,-70.631492
images/ch4/ch4img3.jpg,-33.439006,-70.639039
images/ch4/ch4img4.jpg,-33.439042,-70.639069
images/ch4/ch4img5.jpg,-33.431672,-70.626464
images/ch4/ch4img6.jpg,-33.436089,-70.630403
images/ch4/ch4img7.jpg,-33.437569,-70.633858
images/ch4/ch4img8.jpg,-33.437564,-70.632631
images/ch4/ch4img9.jpg,-33.439514,-70.638908
