image, latitude, longitude
images/ch3/ch3img10.jpg,-33.437489,-70.633819
images/ch3/ch3img11.jpg,-33.442222,-70.643692
images/ch3/ch3img12.jpg,-33.427894,-70.616897
images/ch3/ch3img13.jpg,-33.439819,-70.639581
images/ch3/ch3img14.jpg,-33.429608,-70.621278
images/ch3/ch3img15.jpg,-33.437286,-70.632867
images/ch3/ch3img17.jpg,-33.433483,-70.627053
images/ch3/ch3img18.jpg,-33.436747,-70.632561
images/ch3/ch3img19.jpg,-33.436561,-70.631858
images/ch3/ch3img1.jpg,-33.425914,-70.590447
images/ch3/ch3img2.jpg,-33.440564,-70.637367
images/ch3/ch3img5.jpg,-33.432361,-70.624925
images/ch3/ch3img8.jpg,-33.437406,-70.634758
